GEOID,assessed_value_median,assessed_value_mean,parcel_count_estimated,property_age_estimate
260650001001,75300,79065.0,319,45
260650001002,83800,87990.0,425,44
260650004001,91200,95760.0,359,44
260650004002,144900,152145.0,296,40
260650004003,122200,128310.0,461,42
260650006001,104200,109410.0,440,43
260650006002,125300,131565.0,580,41
260650007001,204400,214620.0,361,36
260650007002,75300,79065.0,543,45
260650007003,97300,102165.0,308,43
260650008001,71900,75495.0,305,45
260650008002,57500,60375.0,120,46
260650008003,-666666666,-699999999.3000001,272,100
260650008004,114300,120015.0,340,42
260650010001,104000,109200.0,663,43
260650010002,131900,138495.0,424,41
260650012001,66700,70035.0,195,45
260650012002,88200,92610.0,299,44
260650012003,125500,131775.0,258,41
260650017031,184000,193200.0,600,38
260650017032,252500,265125.0,988,33
260650017033,147800,155190.0,519,40
260650020001,-666666666,-699999999.3000001,301,100
260650020002,55600,58380.0,297,46
260650020003,59700,62685.0,265,46
260650020004,-666666666,-699999999.3000001,280,100
260650021011,54600,57330.0,293,46
260650021012,82500,86625.0,355,44
260650022001,155500,163275.0,259,39
260650022002,117700,123585.0,467,42
260650023001,97700,102585.0,251,43
260650023002,90300,94815.0,456,44
260650023003,104700,109935.0,355,43
260650023004,102000,107100.0,422,43
260650026001,83200,87360.0,377,44
260650026002,107600,112980.0,381,43
260650027001,97400,102270.0,273,43
260650027002,87400,91770.0,608,44
260650027003,114600,120330.0,326,42
260650028001,93200,97860.0,268,43
260650028002,87200,91560.0,342,44
260650028003,131300,137865.0,438,41
260650029011,140200,147210.0,597,40
260650029012,153300,160965.0,920,40
260650029021,93800,98490.0,689,43
260650029022,-666666666,-699999999.3000001,222,100
260650029023,-666666666,-699999999.3000001,1135,100
260650031031,191500,201075.0,675,37
260650031032,214200,224910.0,507,36
260650031033,188400,197820.0,307,37
260650031034,-666666666,-699999999.3000001,383,100
260650031035,136500,143325.0,331,41
260650031036,162500,170625.0,359,39
260650032001,81800,85890.0,380,44
260650032002,89600,94080.0,325,44
260650033011,132900,139545.0,476,41
260650033012,117700,123585.0,373,42
260650033013,109600,115080.0,308,42
260650033021,144500,151725.0,445,40
260650033022,182800,191940.0,389,38
260650034001,178500,187425.0,350,38
260650034002,142100,149205.0,343,40
260650034003,149900,157395.0,341,40
260650035001,89300,93765.0,268,44
260650035002,-666666666,-699999999.3000001,358,100
260650035003,123400,129570.0,695,41
260650036011,99300,104265.0,397,43
260650036012,98100,103005.0,444,43
260650036013,113400,119070.0,501,42
260650036021,109200,114660.0,438,42
260650036022,93400,98070.0,491,43
260650036023,101300,106365.0,332,43
260650037001,109100,114555.0,380,42
260650037002,73100,76755.0,344,45
260650037003,98600,103530.0,437,43
260650037004,109100,114555.0,592,42
260650037005,163100,171255.0,304,39
260650038011,218800,229740.0,487,35
260650038012,190700,200235.0,573,37
260650038013,234900,246645.0,628,34
260650038021,253700,266385.0,960,33
260650038022,118800,124740.0,591,42
260650038023,209400,219870.0,367,36
260650039011,440400,462420.0,859,21
260650039021,269700,283185.0,610,32
260650039022,224200,235410.0,567,35
260650039023,271100,284655.0,397,32
260650040001,336000,352800.0,332,28
260650040002,220900,231945.0,546,35
260650040003,-666666666,-699999999.3000001,607,100
260650040004,326000,342300.0,197,28
260650040005,275900,289695.0,221,32
260650041001,326700,343035.0,150,28
260650041002,213000,223650.0,636,36
260650041003,-666666666,-699999999.3000001,202,100
260650041004,-666666666,-699999999.3000001,661,100
260650043011,239400,251370.0,382,34
260650043012,225800,237090.0,300,35
260650043013,190400,199920.0,369,37
260650043014,204200,214410.0,528,36
260650043021,-666666666,-699999999.3000001,545,100
260650043022,-666666666,-699999999.3000001,664,100
260650044021,-666666666,-699999999.3000001,158,100
260650044022,-666666666,-699999999.3000001,24,100
260650044023,-666666666,-699999999.3000001,0,100
260650044031,170600,179130.0,509,38
260650044032,216000,226800.0,268,35
260650044033,-666666666,-699999999.3000001,0,100
260650044901,-666666666,-699999999.3000001,0,100
260650044902,-666666666,-699999999.3000001,0,100
260650044911,-666666666,-699999999.3000001,0,100
260650044921,-666666666,-699999999.3000001,0,100
260650044931,-666666666,-699999999.3000001,0,100
260650044941,-666666666,-699999999.3000001,0,100
260650045001,146500,153825.0,635,40
260650045002,295700,310485.0,328,30
260650045003,93600,98280.0,739,43
260650046001,374200,392910.0,1100,25
260650046002,255100,267855.0,704,33
260650047001,253400,266070.0,606,33
260650047002,314800,330540.0,881,29
260650048011,162200,170310.0,669,39
260650048012,194400,204120.0,988,37
260650048013,142000,149100.0,498,40
260650048021,175200,183960.0,206,38
260650048022,243600,255780.0,636,34
260650048023,276800,290640.0,481,32
260650049021,391200,410760.0,424,24
260650049022,-666666666,-699999999.3000001,705,100
260650049023,331100,347655.0,273,28
260650049024,237500,249375.0,639,34
260650049031,332400,349020.0,1080,28
260650049041,284200,298410.0,817,31
260650049042,264500,277725.0,377,32
260650049043,339700,356685.0,512,27
260650050021,356700,374535.0,549,26
260650050022,461500,484575.0,359,20
260650050023,289300,303765.0,369,31
260650050031,429200,450660.0,1533,22
260650050041,291300,305865.0,933,31
260650050042,277700,291585.0,289,31
260650050043,370200,388710.0,406,25
260650051001,119500,125475.0,397,42
260650051002,88500,92925.0,462,44
260650051003,97900,102795.0,266,43
260650052011,-666666666,-699999999.3000001,611,100
260650052012,65400,68670.0,513,45
260650052013,127100,133455.0,335,41
260650052014,76200,80010.0,399,45
260650052015,69800,73290.0,315,45
260650052021,195500,205275.0,554,37
260650052022,261900,274995.0,666,32
260650053031,-666666666,-699999999.3000001,779,100
260650053032,169900,178395.0,594,38
260650053033,127800,134190.0,451,41
260650053034,86200,90510.0,191,44
260650053041,95000,99750.0,353,43
260650053042,81400,85470.0,470,44
260650053043,110900,116445.0,475,42
260650053051,311000,326550.0,301,29
260650053052,277300,291165.0,1055,31
260650053061,134400,141120.0,755,41
260650053062,184500,193725.0,541,38
260650054011,155800,163590.0,850,39
260650054012,178000,186900.0,245,38
260650054013,191200,200760.0,285,37
260650054021,124600,130830.0,651,41
260650054022,133000,139650.0,346,41
260650054023,124100,130305.0,729,41
260650055011,264100,277305.0,596,32
260650055012,228700,240135.0,834,35
260650055013,-666666666,-699999999.3000001,345,100
260650055014,177900,186795.0,453,38
260650055021,200200,210210.0,1990,36
260650055022,201100,211155.0,485,36
260650056001,275500,289275.0,316,32
260650056002,267600,280980.0,331,32
260650056003,236100,247905.0,326,34
260650057001,250800,263340.0,610,33
260650057002,277400,291270.0,643,31
260650057003,273400,287070.0,619,32
260650058001,236000,247800.0,534,34
260650058002,401400,421470.0,838,23
260650058003,172000,180600.0,677,38
260650058004,143400,150570.0,345,40
260650059001,261100,274155.0,491,33
260650059002,270200,283710.0,292,32
260650059003,145500,152775.0,528,40
260650059004,115400,121170.0,658,42
260650060011,234300,246015.0,449,34
260650060012,201300,211365.0,335,36
260650060013,212500,223125.0,426,36
260650060021,188900,198345.0,596,37
260650060022,239900,251895.0,393,34
260650060023,193300,202965.0,504,37
260650061001,189100,198555.0,382,37
260650061002,205100,215355.0,367,36
260650061003,142600,149730.0,353,40
260650061004,118100,124005.0,482,42
260650062001,259800,272790.0,440,33
260650062002,223900,235095.0,284,35
260650062003,213700,224385.0,455,36
260650062004,234000,245700.0,482,34
260650063011,133600,140280.0,213,41
260650063012,187300,196665.0,450,37
260650063013,-666666666,-699999999.3000001,389,100
260650063014,264800,278040.0,439,32
260650063015,351800,369390.0,513,27
260650063021,183100,192255.0,1115,38
260650063022,174000,182700.0,519,38
260650064011,252600,265230.0,567,33
260650064012,235600,247380.0,955,34
260650064021,246800,259140.0,528,33
260650064022,182900,192045.0,470,38
260650065001,161800,169890.0,448,39
260650065002,111400,116970.0,355,42
260650065003,70600,74130.0,410,45
260650065004,91700,96285.0,359,44
260650066001,120300,126315.0,266,42
260650066002,96000,100800.0,1245,43
260650067001,-666666666,-699999999.3000001,587,100
260650067002,-666666666,-699999999.3000001,584,100
260650067003,130500,137025.0,496,41
260650067004,183400,192570.0,551,38
260650068001,72200,75810.0,471,45
260650068002,60000,63000.0,282,46
260650068003,59300,62265.0,436,46
260650068004,65300,68565.0,223,45
260650070001,117900,123795.0,498,42
260650070002,71200,74760.0,175,45
260650070003,109500,114975.0,570,42
260650070004,136800,143640.0,410,41
260650070005,114500,120225.0,466,42
260650070006,144500,151725.0,314,40
260659800001,-666666666,-699999999.3000001,0,100
260659801001,-666666666,-699999999.3000001,7,100
260659802001,-666666666,-699999999.3000001,0,100
260659803001,-666666666,-699999999.3000001,0,100
